filename,filepath,modality,vocal_channel,emotion_code,emotion,intensity,statement,repetition,actor
03-01-01-01-01-01-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-01-01.wav,3,1,1,neutral,1,1,1,1
03-01-01-01-01-02-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-02-01.wav,3,1,1,neutral,1,1,2,1
03-01-01-01-02-01-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-01-01.wav,3,1,1,neutral,1,2,1,1
03-01-01-01-02-02-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-02-01.wav,3,1,1,neutral,1,2,2,1
03-01-02-01-01-01-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-01-01.wav,3,1,2,calm,1,1,1,1
03-01-02-01-01-02-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-02-01.wav,3,1,2,calm,1,1,2,1
03-01-02-01-02-01-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-01-01.wav,3,1,2,calm,1,2,1,1
03-01-02-01-02-02-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-02-01.wav,3,1,2,calm,1,2,2,1
03-01-02-02-01-01-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-01-01.wav,3,1,2,calm,2,1,1,1
03-01-02-02-01-02-01.wav,C:/Users/kenis/OneDrive/Desktop/RAVDESS\data\raw\Audio_Speech_Actors_01-24_16k (1) - Copy\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-02-01.wav,3,1,2,calm,2,1,2,1
