filename,sampling_rate,duration_seconds,samples,status
03-01-01-01-01-01-01.wav,16000,3.3033125,52853,OK
03-01-01-01-01-02-01.wav,16000,3.3366875,53387,OK
03-01-01-01-02-01-01.wav,16000,3.2699375,52319,OK
03-01-01-01-02-02-01.wav,16000,3.169875,50718,OK
03-01-02-01-01-01-01.wav,16000,3.536875,56590,OK
03-01-02-01-01-02-01.wav,16000,3.603625,57658,OK
03-01-02-01-02-01-01.wav,16000,3.5035,56056,OK
03-01-02-01-02-02-01.wav,16000,3.4701875,55523,OK
03-01-02-02-01-01-01.wav,16000,3.70375,59260,OK
03-01-02-02-01-02-01.wav,16000,4.004,64064,OK
03-01-02-02-02-01-01.wav,16000,4.20425,67268,OK
03-01-02-02-02-02-01.wav,16000,4.004,64064,OK
03-01-03-01-01-01-01.wav,16000,3.4701875,55523,OK
03-01-03-01-01-02-01.wav,16000,3.470125,55522,OK
03-01-03-01-02-01-01.wav,16000,3.536875,56590,OK
03-01-03-01-02-02-01.wav,16000,3.70375,59260,OK
03-01-03-02-01-01-01.wav,16000,3.670375,58726,OK
03-01-03-02-01-02-01.wav,16000,3.637,58192,OK
03-01-03-02-02-01-01.wav,16000,3.93725,62996,OK
03-01-03-02-02-02-01.wav,16000,3.9373125,62997,OK
03-01-04-01-01-01-01.wav,16000,3.8371875,61395,OK
03-01-04-01-01-02-01.wav,16000,3.57025,57124,OK
03-01-04-01-02-01-01.wav,16000,3.5035,56056,OK
03-01-04-01-02-02-01.wav,16000,3.3700625,53921,OK
03-01-04-02-01-01-01.wav,16000,3.8038125,60861,OK
03-01-04-02-01-02-01.wav,16000,3.70375,59260,OK
03-01-04-02-02-01-01.wav,16000,3.737125,59794,OK
03-01-04-02-02-02-01.wav,16000,3.7370625,59793,OK
03-01-05-01-01-01-01.wav,16000,3.8705625,61929,OK
03-01-05-01-01-02-01.wav,16000,3.9373125,62997,OK
03-01-05-01-02-01-01.wav,16000,3.5035,56056,OK
03-01-05-01-02-02-01.wav,16000,3.7370625,59793,OK
03-01-05-02-01-01-01.wav,16000,4.104125,65666,OK
03-01-05-02-01-02-01.wav,16000,4.3710625,69937,OK
03-01-05-02-02-01-01.wav,16000,4.1375,66200,OK
03-01-05-02-02-02-01.wav,16000,4.4378125,71005,OK
03-01-06-01-01-01-01.wav,16000,3.670375,58726,OK
03-01-06-01-01-02-01.wav,16000,3.637,58192,OK
03-01-06-01-02-01-01.wav,16000,3.4368125,54989,OK
